# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Nitrosomonadaceae;g__Nitrosomonas	0.0	0.0	0.0	44.0	35.0	51.0	0.0	0.0	173.0	136.0	72.0	146.0	93.0	299.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0.0	540.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Trichococcus	0.0	0.0	21.0	66.0	56.0	63.0	0.0	5.0	105.0	91.0	64.0	74.0	48.0	192.0	22.0	27.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__	0.0	0.0	26.0	114.0	98.0	103.0	0.0	4.0	181.0	106.0	69.0	163.0	27.0	445.0	191.0	204.0	162.0	140.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;__;__	0.0	0.0	66.0	5.0	57.0	60.0	0.0	0.0	98.0	43.0	34.0	78.0	24.0	177.0	41.0	24.0	14.0	21.0	3.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Haliangiaceae;g__	0.0	0.0	0.0	76.0	0.0	104.0	0.0	2.0	121.0	76.0	91.0	0.0	63.0	283.0	0.0	0.0	7.0	0.0	0.0
k__Bacteria;p__WS3;c__PRR-12;o__Sediment-1;f__PRR-10;g__	0.0	0.0	0.0	89.0	61.0	110.0	0.0	0.0	65.0	51.0	52.0	97.0	33.0	195.0	72.0	83.0	65.0	16.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__	0.0	0.0	0.0	102.0	87.0	81.0	0.0	3.0	83.0	86.0	74.0	160.0	20.0	426.0	61.0	49.0	28.0	16.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Giesbergeria	0.0	0.0	0.0	3.0	57.0	60.0	0.0	0.0	77.0	64.0	0.0	55.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	8.0	28.0	0.0	44.0	36.0	89.0	137.0	182.0	167.0	76.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__;g__	0.0	0.0	11.0	36.0	46.0	48.0	0.0	0.0	109.0	77.0	62.0	56.0	42.0	269.0	20.0	3.0	3.0	10.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__	0.0	0.0	0.0	24.0	22.0	0.0	0.0	0.0	51.0	30.0	31.0	56.0	21.0	117.0	66.0	58.0	68.0	62.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__	0.0	0.0	13.0	43.0	23.0	0.0	0.0	0.0	80.0	63.0	27.0	41.0	36.0	187.0	100.0	203.0	134.0	12.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__	0.0	0.0	12.0	121.0	146.0	258.0	0.0	8.0	144.0	87.0	115.0	86.0	64.0	334.0	125.0	17.0	79.0	57.0	2.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	64.0	0.0	22.0	0.0	0.0	80.0	53.0	141.0	74.0	40.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__;g__	0.0	3.0	35.0	188.0	138.0	194.0	0.0	0.0	216.0	155.0	27.0	257.0	73.0	563.0	38.0	13.0	34.0	21.0	3.0
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__;f__;g__	0.0	0.0	13.0	74.0	68.0	85.0	0.0	0.0	50.0	28.0	46.0	63.0	24.0	122.0	44.0	98.0	34.0	0.0	6.0
