# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Salinarimonas	0.0	0.0	11.0	0.0	56.0	54.0	0.0	0.0	59.0	39.0	34.0	78.0	24.0	170.0	0.0	20.0	14.0	11.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter	0.0	0.0	29.0	131.0	109.0	139.0	0.0	4.0	157.0	84.0	88.0	194.0	0.0	341.0	124.0	147.0	104.0	79.0	0.0
k__Bacteria;p__Proteobacteria;__;__;__;__	0.0	0.0	2.0	91.0	7.0	120.0	3.0	0.0	131.0	86.0	93.0	133.0	64.0	301.0	3.0	29.0	44.0	10.0	6.0
k__Bacteria;__;__;__;__;__	5.0	8.0	111.0	696.0	577.0	932.0	3.0	18.0	802.0	606.0	525.0	699.0	293.0	1923.0	563.0	497.0	537.0	209.0	21.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;__;__	0.0	0.0	0.0	0.0	2.0	27.0	0.0	0.0	68.0	0.0	0.0	44.0	0.0	87.0	4.0	162.0	168.0	141.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	0.0	18.0	64.0	80.0	107.0	2.0	2.0	172.0	160.0	121.0	126.0	113.0	585.0	208.0	229.0	80.0	97.0	5.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	0.0	93.0	10.0	49.0	26.0	10.0	0.0	3.0	84.0	56.0	46.0	45.0	36.0	210.0	120.0	212.0	114.0	6.0	6.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Mesorhizobium	0.0	0.0	0.0	60.0	0.0	0.0	0.0	0.0	115.0	0.0	56.0	104.0	47.0	203.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;__	0.0	0.0	0.0	0.0	20.0	1.0	0.0	0.0	64.0	0.0	22.0	0.0	0.0	80.0	56.0	138.0	74.0	40.0	43.0
k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__Ferruginibacter	0.0	0.0	7.0	29.0	0.0	18.0	0.0	0.0	19.0	0.0	27.0	37.0	40.0	163.0	144.0	176.0	180.0	111.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylovirgula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	160.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	0.0	0.0	0.0	47.0	26.0	20.0	0.0	0.0	64.0	0.0	39.0	63.0	13.0	100.0	18.0	73.0	0.0	30.0	0.0
k__Bacteria;p__Bacteroidetes;__;__;__;__	0.0	3.0	8.0	78.0	73.0	84.0	0.0	0.0	117.0	69.0	49.0	122.0	51.0	323.0	148.0	126.0	119.0	115.0	14.0
k__Bacteria;p__Cyanobacteria;__;__;__;__	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	22.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__Woodsholea	0.0	0.0	0.0	16.0	37.0	18.0	0.0	0.0	70.0	28.0	14.0	66.0	0.0	186.0	3.0	10.0	0.0	16.0	0.0
