# Constructed from biom file
#OTU ID	Osnat089-0-L	Osnat090-1-L	Osnat091-2-L	Osnat092-3-L	Osnat093-4-L	Osnat094-5-L	Osnat095-6-L	Osnat096-7-L	Osnat097-8-L	Osnat098-9-L	Osnat099-10-L	Osnat100-11-L	Osnat101-12-L	Osnat102-1-DL	Osnat103-2-DL	Osnat104-3-DL	Osnat105-4-DL	Osnat106-5-DL	Osnat158-M-2
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum	0.0	0.0	0.0	44.0	51.0	62.0	0.0	0.0	46.0	78.0	27.0	60.0	22.0	173.0	85.0	196.0	112.0	75.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Paracaedibacterales;f__Paracaedibacteraceae;g__uncultured	0.0	0.0	10.0	36.0	46.0	41.0	0.0	0.0	103.0	77.0	62.0	56.0	36.0	223.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured	0.0	0.0	4.0	0.0	40.0	21.0	0.0	0.0	53.0	3.0	41.0	57.0	24.0	105.0	175.0	284.0	211.0	102.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured	0.0	0.0	0.0	24.0	22.0	0.0	0.0	0.0	51.0	30.0	31.0	56.0	21.0	117.0	68.0	60.0	68.0	62.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__PLTA13;f__PLTA13;g__PLTA13	0.0	0.0	10.0	41.0	23.0	0.0	0.0	0.0	80.0	56.0	0.0	36.0	36.0	151.0	85.0	191.0	100.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium	0.0	0.0	0.0	60.0	52.0	65.0	0.0	0.0	115.0	74.0	56.0	104.0	47.0	203.0	0.0	55.0	77.0	37.0	0.0
d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter	0.0	0.0	12.0	121.0	111.0	205.0	0.0	8.0	164.0	87.0	125.0	86.0	64.0	347.0	133.0	17.0	79.0	53.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Parafilimonas	0.0	0.0	0.0	29.0	37.0	0.0	0.0	0.0	41.0	33.0	19.0	0.0	18.0	116.0	186.0	207.0	149.0	159.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter	0.0	0.0	7.0	0.0	9.0	33.0	0.0	0.0	34.0	0.0	8.0	65.0	22.0	106.0	162.0	239.0	247.0	139.0	6.0
d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27;g__mle1-27	0.0	0.0	24.0	137.0	96.0	153.0	0.0	0.0	197.0	141.0	14.0	204.0	73.0	391.0	37.0	0.0	26.0	21.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	58.0	0.0	171.0	0.0	125.0	24.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured	0.0	0.0	13.0	74.0	68.0	85.0	0.0	0.0	50.0	28.0	46.0	63.0	24.0	126.0	44.0	98.0	34.0	0.0	2.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter	0.0	0.0	0.0	47.0	26.0	20.0	0.0	0.0	64.0	0.0	39.0	63.0	13.0	100.0	18.0	76.0	0.0	30.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola	0.0	0.0	0.0	22.0	26.0	31.0	0.0	0.0	48.0	29.0	26.0	56.0	24.0	119.0	17.0	28.0	0.0	5.0	0.0
d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae;g__Tychonema_CCAP_1459-11B	0.0	68.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Devosiaceae;g__Devosia	0.0	137.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	61.0	35.0	18.0	3.0
